,x,y
0,1e-05,0.5
1,30000.0,0.501
2,100000.0,0.502
3,150000.0,0.503
4,215000.0,0.504
5,300000.0,0.505
6,465000.0,0.508
7,700000.0,0.513
8,1000000.0,0.518
9,1500000.0,0.527
10,2150000.0,0.539
11,3000000.0,0.554
12,4650000.0,0.583
13,7000000.0,0.626
14,10000000.0,0.679
15,12000000.0,0.715
16,13000000.0,0.733
17,14000000.0,0.751
18,15000000.0,0.76
19,21000000.0,0.75
20,22000000.0,0.735
21,23000000.0,0.73
22,24000000.0,0.718
23,25000000.0,0.715
24,26000000.0,0.705
25,27000000.0,0.704
26,28000000.0,0.701
27,29000000.0,0.694
28,32000000.0,0.686
29,34000000.0,0.685
30,36000000.0,0.681
31,40000000.0,0.675
32,42000000.0,0.677
33,44000000.0,0.68
34,46000000.0,0.676
35,50000000.0,0.678
36,52000000.0,0.672
37,54000000.0,0.674
38,56000000.0,0.676
39,58000000.0,0.678
40,60000000.0,0.67
