,x,y
0,1e-05,0.13
1,24500.0,0.131
2,100000.0,0.132
3,150000.0,0.133
4,215000.0,0.135
5,300000.0,0.136
6,465000.0,0.14
7,700000.0,0.145
8,1000000.0,0.151
9,1500000.0,0.162
10,2150000.0,0.176
11,3000000.0,0.194
12,4650000.0,0.229
13,7000000.0,0.28
14,10000000.0,0.344
15,12000000.0,0.387
16,13000000.0,0.408
17,14000000.0,0.429
18,15000000.0,0.44
19,21000000.0,0.439
20,22000000.0,0.435
21,23000000.0,0.433
22,24000000.0,0.429
23,25000000.0,0.426
24,26000000.0,0.424
25,27000000.0,0.42
26,28000000.0,0.419
27,29000000.0,0.418
28,30000000.0,0.414
29,32000000.0,0.413
30,34000000.0,0.405
31,36000000.0,0.407
32,38000000.0,0.4
33,40000000.0,0.402
34,42000000.0,0.401
35,44000000.0,0.394
36,46000000.0,0.399
37,50000000.0,0.394
38,52000000.0,0.393
39,54000000.0,0.398
40,56000000.0,0.397
41,58000000.0,0.396
42,60000000.0,0.394
