,x,y
0,1e-05,0.5
1,30000.0,0.499
2,100000.0,0.498
3,150000.0,0.497
4,215000.0,0.496
5,300000.0,0.495
6,465000.0,0.492
7,700000.0,0.487
8,1000000.0,0.482
9,1500000.0,0.473
10,2150000.0,0.461
11,3000000.0,0.446
12,4650000.0,0.417
13,7000000.0,0.374
14,10000000.0,0.321
15,12000000.0,0.285
16,13000000.0,0.267
17,14000000.0,0.249
18,15000000.0,0.24
19,21000000.0,0.243
20,22000000.0,0.246
21,23000000.0,0.248
22,24000000.0,0.251
23,25000000.0,0.252
24,26000000.0,0.255
25,27000000.0,0.256
26,28000000.0,0.258
27,29000000.0,0.261
28,30000000.0,0.263
29,32000000.0,0.267
30,34000000.0,0.27
31,36000000.0,0.275
32,38000000.0,0.28
33,40000000.0,0.283
34,42000000.0,0.288
35,44000000.0,0.292
36,46000000.0,0.295
37,48000000.0,0.299
38,50000000.0,0.303
39,52000000.0,0.304
40,54000000.0,0.311
41,56000000.0,0.315
42,58000000.0,0.319
43,60000000.0,0.321
